Frame,Speed,acc,Steer,Throttle,Brake,Left Line X,Left Line Y,Right Line X,Right Line Y,Lead Speed,Lead x Dist,Lead y Dist,Relatve Distance
0,0.0,1,0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
1,0.0,1,-0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
2,0.0,1,-0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
3,0.0,1,-0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
4,0.0,1,-0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
5,0.0,1,-0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
6,0.0,1,0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
7,0.0,1,-0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
8,0.0,1,-0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
9,0.0,1,-0.0,0.0,0.0,"[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[-1.613478660583496, -1.6110018491744995, -1.6118841171264648, -1.6138744354248047, -1.6144353151321411, -1.6136744022369385, -1.6177935600280762, -1.610484004020691, -1.6140742301940918, -1.595946192741394, -1.6001802682876587, -1.5908994674682617, -1.6156234741210938, -1.6455631256103516, -1.6949987411499023, -1.7619186639785767, -1.8492321968078613, -1.896496295928955, -2.018383026123047, -2.14575457572937, -2.235347032546997, -2.3760592937469482, -2.488581895828247, -2.58353853225708, -2.6673030853271484, -2.7789087295532227, -2.815075159072876, -3.052690029144287, -3.175095319747925, -3.1195998191833496, -3.3905534744262695, -3.421976089477539, -3.5517024993896484]","[0.0, 0.1875, 0.75, 1.6875, 3.0, 4.6875, 6.75, 9.1875, 12.0, 15.1875, 18.75, 22.6875, 27.0, 31.6875, 36.75, 42.1875, 48.0, 54.1875, 60.75, 67.6875, 75.0, 82.6875, 90.75, 99.1875, 108.0, 117.1875, 126.75, 136.6875, 147.0, 157.6875, 168.75, 180.1875, 192.0]","[1.607163667678833, 1.6065356731414795, 1.6107548475265503, 1.6179437637329102, 1.606989860534668, 1.596663475036621, 1.5645967721939087, 1.5516947507858276, 1.5302820205688477, 1.5232689380645752, 1.490157127380371, 1.4594141244888306, 1.4872262477874756, 1.4454874992370605, 1.3859580755233765, 1.3997000455856323, 1.4468119144439697, 1.3379729986190796, 1.2527894973754883, 1.3203842639923096, 1.0208226442337036, 1.0176515579223633, 1.4173853397369385, 0.9997348785400391, 0.7328296899795532, 1.1183736324310303, 0.864157497882843, 0.9559545516967773, 0.08067846298217773, -0.08777379989624023, 0.9446496963500977, 0.37790632247924805, -0.4663369655609131]",17.49566078186035,118.3076171875,-0.16396382451057434,118.307730807077
